Search Key	Index Found	Seq. Search	Bin. Search	Enhanced Bin. Search
1951135	19670	19671		16		7
6192113	62019	62020		15		9
8543783	85627	85628		16		10
8225210	82448	82449		16		4
7359906	73647	73648		16		4
4327792	43409	43410		15		3
5780451	57917	57918		15		9
7734918	77516	77517		16		4
9517512	95313	95314		17		2
4635553	46512	46513		17		5
3770960	37879	37880		15		3
6306150	63227	63228		15		9
3870657	38843	38844		15		3
541767	5459	5460		17		5
902856	9113	9114		15		9
1199207	12027	12028		17		5
8756326	87748	87749		14		6
363089	3639	3640		16		4
3791116	38073	38074		17		2
6295844	63118	63119		16		10
5948176	59549	59550		17		5
4960620	49722	49723		17		5
3710836	37312	37313		15		9
8343387	83602	83603		16		10
9522167	95354	95355		16		7
4069062	40833	40834		17		2
1835885	18502	18503		16		11
648828	6515	6516		17		11
9082827	91027	91028		16		1
4614250	46294	46295		16		7
9549234	95621	95622		14		6
8255995	82765	82766		15		3
5145191	51510	51511		16		11
5770738	57808	57809		17		10
5018480	50302	50303		17		11
8693699	87119	87120		17		11
670301	6716	6717		17		5
9764541	97776	97777		12		12
4188374	42026	42027		13		13
852947	8575	8576		17		8
7662811	76762	76763		14		6
791746	7948	7949		16		4
7587061	75982	75983		16		7
4538520	45565	45566		17		11
1217839	12217	12218		13		13
6186026	61958	61959		17		10
147693	1519	1520		16		7
8931249	89491	89492		16		4
6900361	69044	69045		15		3
5012948	50249	50250		16		7
3876127	-1	100000		17		12
1543100	-1	100000		16		11
438025	-1	100000		17		11
1939856	-1	100000		17		11
9594599	-1	100000		17		12
8253557	-1	100000		17		11
5326333	-1	100000		17		11
8086182	-1	100000		17		11
3067778	-1	100000		16		11
6248252	-1	100000		17		11
4805463	-1	100000		17		11
6690812	-1	100000		17		11
7862928	-1	100000		17		11
4812984	-1	100000		17		11
8684082	-1	100000		17		12
8922822	-1	100000		16		12
6595798	-1	100000		17		11
3255745	-1	100000		16		11
5925527	-1	100000		16		11
666261	-1	100000		17		11
2019569	-1	100000		16		11
9556476	-1	100000		16		11
6144874	-1	100000		16		11
707286	-1	100000		17		11
318631	-1	100000		17		11
263923	-1	100000		16		11
6451055	-1	100000		17		11
41990	-1	100000		17		11
2519618	-1	100000		17		11
8494698	-1	100000		17		11
6208383	-1	100000		17		11
4987381	-1	100000		17		12
7876389	-1	100000		17		11
7892145	-1	100000		17		11
3739545	-1	100000		17		11
6836475	-1	100000		17		12
9406321	-1	100000		17		11
5470615	-1	100000		17		11
2343797	-1	100000		16		12
7262799	-1	100000		17		11
7680027	-1	100000		17		12
6190681	-1	100000		17		12
1440555	-1	100000		17		11
981344	-1	100000		17		11
9290366	-1	100000		17		11
634312	-1	100000		17		12
3449570	-1	100000		16		11
5338477	-1	100000		16		11
5824212	-1	100000		17		11
5346455	-1	100000		16		11
